Model_1,Model_2,Metric,n_model1,n_model2,p,A12,A12_interpretation
DeepSeek-V3-0324 (I/O),deepseek-v2 (I/O),f1,6,6,0.0312,1.0000,large; Model1 > Model2
DeepSeek-V3-0324 (I/O),gpt-35-turbo (I/O),f1,6,6,0.0312,1.0000,large; Model1 > Model2
DeepSeek-V3-0324 (I/O),gpt-4 (I/O),f1,6,6,1.0000,0.5417,negligible; Model1 > Model2
DeepSeek-V3-0324 (I/O),gpt-4o (I/O),f1,6,6,0.1562,0.6389,small; Model1 > Model2
DeepSeek-V3-0324 (I/O),gpt-4o-mini (I/O),f1,6,6,0.0625,0.8333,large; Model1 > Model2
DeepSeek-V3-0324 (I/O),gpt-5-chat (I/O),f1,6,6,0.0938,0.9167,large; Model1 > Model2
DeepSeek-V3-0324 (I/O),mistral (I/O),f1,6,6,0.1562,0.8056,large; Model1 > Model2
deepseek-v2 (I/O),gpt-35-turbo (I/O),f1,6,6,0.4375,0.6667,medium; Model1 > Model2
deepseek-v2 (I/O),gpt-4 (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
deepseek-v2 (I/O),gpt-4o (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
deepseek-v2 (I/O),gpt-4o-mini (I/O),f1,6,6,0.0312,0.1667,large; Model1 < Model2
deepseek-v2 (I/O),gpt-5-chat (I/O),f1,6,6,0.0312,0.1389,large; Model1 < Model2
deepseek-v2 (I/O),mistral (I/O),f1,6,6,0.2188,0.2778,large; Model1 < Model2
gpt-35-turbo (I/O),gpt-4 (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
gpt-35-turbo (I/O),gpt-4o (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
gpt-35-turbo (I/O),gpt-4o-mini (I/O),f1,6,6,0.0938,0.1111,large; Model1 < Model2
gpt-35-turbo (I/O),gpt-5-chat (I/O),f1,6,6,0.0312,0.0278,large; Model1 < Model2
gpt-35-turbo (I/O),mistral (I/O),f1,6,6,0.0312,0.0833,large; Model1 < Model2
gpt-4 (I/O),gpt-4o (I/O),f1,6,6,1.0000,0.5556,negligible; Model1 > Model2
gpt-4 (I/O),gpt-4o-mini (I/O),f1,6,6,0.2188,0.8056,large; Model1 > Model2
gpt-4 (I/O),gpt-5-chat (I/O),f1,6,6,0.0312,0.8889,large; Model1 > Model2
gpt-4 (I/O),mistral (I/O),f1,6,6,0.0625,0.8056,large; Model1 > Model2
gpt-4o (I/O),gpt-4o-mini (I/O),f1,6,6,0.0625,0.7778,large; Model1 > Model2
gpt-4o (I/O),gpt-5-chat (I/O),f1,6,6,0.0938,0.8611,large; Model1 > Model2
gpt-4o (I/O),mistral (I/O),f1,6,6,0.1562,0.7778,large; Model1 > Model2
gpt-4o-mini (I/O),gpt-5-chat (I/O),f1,6,6,0.8438,0.5278,negligible; Model1 > Model2
gpt-4o-mini (I/O),mistral (I/O),f1,6,6,0.4375,0.6111,small; Model1 > Model2
gpt-5-chat (I/O),mistral (I/O),f1,6,6,1.0000,0.6111,small; Model1 > Model2
